REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2026/08/01 00:05:00,6486.74,92.76,TRADE
VIC1,2026/08/01 00:10:00,6480.36,99.19,TRADE
VIC1,2026/08/01 00:15:00,6548.49,122.37,TRADE
VIC1,2026/08/01 00:20:00,6490.39,99.19,TRADE
VIC1,2026/08/01 00:25:00,6486.28,91.50,TRADE
VIC1,2026/08/01 00:30:00,6432.05,90.56,TRADE
VIC1,2026/08/01 00:35:00,6380.27,90.56,TRADE
VIC1,2026/08/01 00:40:00,6361.33,90.99,TRADE
VIC1,2026/08/01 00:45:00,6256.39,81.70,TRADE
VIC1,2026/08/01 00:50:00,6243.83,82.24,TRADE
VIC1,2026/08/01 00:55:00,6260.68,80.50,TRADE
VIC1,2026/08/01 01:00:00,6233.54,80.50,TRADE
VIC1,2026/08/01 01:05:00,6182.09,75.40,TRADE
VIC1,2026/08/01 01:10:00,6172.99,75.40,TRADE
VIC1,2026/08/01 01:15:00,6169.3,80.50,TRADE
VIC1,2026/08/01 01:20:00,6172.61,81.68,TRADE
VIC1,2026/08/01 01:25:00,6099,79.71,TRADE
VIC1,2026/08/01 01:30:00,6032.61,75.40,TRADE
VIC1,2026/08/01 01:35:00,6063.93,80.50,TRADE
VIC1,2026/08/01 01:40:00,5955.92,80.50,TRADE
VIC1,2026/08/01 01:45:00,5979.77,81.63,TRADE
VIC1,2026/08/01 01:50:00,5917.67,81.63,TRADE
VIC1,2026/08/01 01:55:00,5871.88,81.63,TRADE
VIC1,2026/08/01 02:00:00,5866.75,72,TRADE
VIC1,2026/08/01 02:05:00,5863.2,80.50,TRADE
VIC1,2026/08/01 02:10:00,5840.89,89.89,TRADE
VIC1,2026/08/01 02:15:00,5726.97,80.50,TRADE
VIC1,2026/08/01 02:20:00,5708.97,80.50,TRADE
VIC1,2026/08/01 02:25:00,5752.4,82.80,TRADE
VIC1,2026/08/01 02:30:00,5713.05,84.20,TRADE
VIC1,2026/08/01 02:35:00,5712.92,83.41,TRADE
VIC1,2026/08/01 02:40:00,5708.59,80.50,TRADE
VIC1,2026/08/01 02:45:00,5668.67,75.40,TRADE
VIC1,2026/08/01 02:50:00,5664.96,97.51,TRADE
VIC1,2026/08/01 02:55:00,5562.56,80.50,TRADE
VIC1,2026/08/01 03:00:00,5569.99,65.49,TRADE
VIC1,2026/08/01 03:05:00,5569.67,75.40,TRADE
VIC1,2026/08/01 03:10:00,5550.97,71.16,TRADE
VIC1,2026/08/01 03:15:00,5542.56,80.50,TRADE
VIC1,2026/08/01 03:20:00,5584.43,80.50,TRADE
VIC1,2026/08/01 03:25:00,5590.26,86.10,TRADE
VIC1,2026/08/01 03:30:00,5555.55,80.50,TRADE
VIC1,2026/08/01 03:35:00,5545.86,66.16,TRADE
VIC1,2026/08/01 03:40:00,5563.33,79.40,TRADE
VIC1,2026/08/01 03:45:00,5547.78,75.40,TRADE
VIC1,2026/08/01 03:50:00,5487.45,75.40,TRADE
VIC1,2026/08/01 03:55:00,5520.62,80.50,TRADE
VIC1,2026/08/01 04:00:00,5484.42,66.09,TRADE
VIC1,2026/08/01 04:05:00,5506.11,80.50,TRADE
VIC1,2026/08/01 04:10:00,5584.99,80.50,TRADE
VIC1,2026/08/01 04:15:00,5506.38,80.50,TRADE
VIC1,2026/08/01 04:20:00,5577.58,80.50,TRADE
VIC1,2026/08/01 04:25:00,5584.12,79.69,TRADE
VIC1,2026/08/01 04:30:00,5605.13,80.50,TRADE
VIC1,2026/08/01 04:35:00,5584.27,75.40,TRADE
VIC1,2026/08/01 04:40:00,5528.68,79.98,TRADE
VIC1,2026/08/01 04:45:00,5584.47,80.50,TRADE
VIC1,2026/08/01 04:50:00,5587.05,86.09,TRADE
VIC1,2026/08/01 04:55:00,5585.12,84.49,TRADE
VIC1,2026/08/01 05:00:00,5637.57,86.68,TRADE
VIC1,2026/08/01 05:05:00,5629.09,80.50,TRADE
VIC1,2026/08/01 05:10:00,5692.29,86.72,TRADE
VIC1,2026/08/01 05:15:00,5719.33,95.36,TRADE
VIC1,2026/08/01 05:20:00,5645.1,90.04,TRADE
VIC1,2026/08/01 05:25:00,5656.68,85.89,TRADE
VIC1,2026/08/01 05:30:00,5743.14,82.05,TRADE
VIC1,2026/08/01 05:35:00,5786.57,80.50,TRADE
VIC1,2026/08/01 05:40:00,5741.97,83.21,TRADE
VIC1,2026/08/01 05:45:00,5769.63,80.50,TRADE
VIC1,2026/08/01 05:50:00,5830.95,86.31,TRADE
VIC1,2026/08/01 05:55:00,5903.5,84.06,TRADE
VIC1,2026/08/01 06:00:00,5949.14,98.36,TRADE
VIC1,2026/08/01 06:05:00,5993.09,83.26,TRADE
VIC1,2026/08/01 06:10:00,6039.03,84.05,TRADE
VIC1,2026/08/01 06:15:00,6009.2,89.15,TRADE
VIC1,2026/08/01 06:20:00,6082.26,89.15,TRADE
VIC1,2026/08/01 06:25:00,6183.24,98.42,TRADE
VIC1,2026/08/01 06:30:00,6231,102.36,TRADE
VIC1,2026/08/01 06:35:00,6200.34,85.35,TRADE
VIC1,2026/08/01 06:40:00,6348.6,84.91,TRADE
VIC1,2026/08/01 06:45:00,6347.95,81.27,TRADE
VIC1,2026/08/01 06:50:00,6464.37,90.61,TRADE
VIC1,2026/08/01 06:55:00,6524.93,90.65,TRADE
VIC1,2026/08/01 07:00:00,6516.4,102.40,TRADE
VIC1,2026/08/01 07:05:00,6561.73,84.51,TRADE
VIC1,2026/08/01 07:10:00,6571.19,84.91,TRADE
VIC1,2026/08/01 07:15:00,6708.91,84.91,TRADE
VIC1,2026/08/01 07:20:00,6701.57,84.51,TRADE
VIC1,2026/08/01 07:25:00,6792.92,84.91,TRADE
VIC1,2026/08/01 07:30:00,6857,84.91,TRADE
VIC1,2026/08/01 07:35:00,6901.67,84.91,TRADE
VIC1,2026/08/01 07:40:00,7044.82,84.91,TRADE
VIC1,2026/08/01 07:45:00,7101.78,98.48,TRADE
VIC1,2026/08/01 07:50:00,7144.57,105.78,TRADE
VIC1,2026/08/01 07:55:00,7161.18,89,TRADE
VIC1,2026/08/01 08:00:00,7182.4,98.48,TRADE
VIC1,2026/08/01 08:05:00,7129.56,84.91,TRADE
VIC1,2026/08/01 08:10:00,7206.92,84.91,TRADE
VIC1,2026/08/01 08:15:00,7199.99,84.51,TRADE
VIC1,2026/08/01 08:20:00,7131.96,69.48,TRADE
VIC1,2026/08/01 08:25:00,7185.06,69.48,TRADE
VIC1,2026/08/01 08:30:00,7139.5,65.68,TRADE
VIC1,2026/08/01 08:35:00,7101.03,53.99,TRADE
VIC1,2026/08/01 08:40:00,7019.95,69.48,TRADE
VIC1,2026/08/01 08:45:00,6913.67,41.14,TRADE
VIC1,2026/08/01 08:50:00,6917.83,21.12,TRADE
VIC1,2026/08/01 08:55:00,6868.72,0,TRADE
VIC1,2026/08/01 09:00:00,6770.87,8.94,TRADE
VIC1,2026/08/01 09:05:00,6746.64,8.94,TRADE
VIC1,2026/08/01 09:10:00,6706.96,10.50,TRADE
VIC1,2026/08/01 09:15:00,6674.61,8.94,TRADE
VIC1,2026/08/01 09:20:00,6521.56,10.50,TRADE
VIC1,2026/08/01 09:25:00,6424.42,0,TRADE
VIC1,2026/08/01 09:30:00,6422.32,0.01,TRADE
VIC1,2026/08/01 09:35:00,6314.85,14.51,TRADE
VIC1,2026/08/01 09:40:00,6261.53,10.50,TRADE
VIC1,2026/08/01 09:45:00,6160.9,10.50,TRADE
VIC1,2026/08/01 09:50:00,6005.47,28.73,TRADE
VIC1,2026/08/01 09:55:00,5919.5,62.34,TRADE
VIC1,2026/08/01 10:00:00,5758.47,60.27,TRADE
VIC1,2026/08/01 10:05:00,5649.9,25.94,TRADE
VIC1,2026/08/01 10:10:00,5655.75,14.89,TRADE
VIC1,2026/08/01 10:15:00,5558.73,10.50,TRADE
VIC1,2026/08/01 10:20:00,5571.65,10.50,TRADE
VIC1,2026/08/01 10:25:00,5397.52,1.42,TRADE
VIC1,2026/08/01 10:30:00,5394.67,3.57,TRADE
VIC1,2026/08/01 10:35:00,5307.84,10.50,TRADE
VIC1,2026/08/01 10:40:00,5257.43,10.50,TRADE
VIC1,2026/08/01 10:45:00,5110.15,1.42,TRADE
VIC1,2026/08/01 10:50:00,4970.42,0.08,TRADE
VIC1,2026/08/01 10:55:00,4940.8,8.81,TRADE
VIC1,2026/08/01 11:00:00,4888.86,-4.40,TRADE
VIC1,2026/08/01 11:05:00,4828.17,-1.16,TRADE
VIC1,2026/08/01 11:10:00,4922.61,0,TRADE
VIC1,2026/08/01 11:15:00,4892.2,0.01,TRADE
VIC1,2026/08/01 11:20:00,4812.75,-2.99,TRADE
VIC1,2026/08/01 11:25:00,4706.31,-2.99,TRADE
VIC1,2026/08/01 11:30:00,4657.18,-1.10,TRADE
VIC1,2026/08/01 11:35:00,4649.08,0,TRADE
VIC1,2026/08/01 11:40:00,4586.21,-2.99,TRADE
VIC1,2026/08/01 11:45:00,4498.28,-3.50,TRADE
VIC1,2026/08/01 11:50:00,4438.19,-2.99,TRADE
VIC1,2026/08/01 11:55:00,4437.96,0,TRADE
VIC1,2026/08/01 12:00:00,4346.84,-1.48,TRADE
VIC1,2026/08/01 12:05:00,4291.8,-0.36,TRADE
VIC1,2026/08/01 12:10:00,4200.77,0,TRADE
VIC1,2026/08/01 12:15:00,4142.18,0.08,TRADE
VIC1,2026/08/01 12:20:00,4099.4,0.04,TRADE
VIC1,2026/08/01 12:25:00,4030.59,0.07,TRADE
VIC1,2026/08/01 12:30:00,4007.88,0.07,TRADE
VIC1,2026/08/01 12:35:00,4007.43,0.08,TRADE
VIC1,2026/08/01 12:40:00,3965.13,0.01,TRADE
VIC1,2026/08/01 12:45:00,3947.94,0.07,TRADE
VIC1,2026/08/01 12:50:00,3944.14,0,TRADE
VIC1,2026/08/01 12:55:00,3899.7,-1.10,TRADE
VIC1,2026/08/01 13:00:00,3789.62,-5,TRADE
VIC1,2026/08/01 13:05:00,3892.43,0.45,TRADE
VIC1,2026/08/01 13:10:00,3830.68,-1.10,TRADE
VIC1,2026/08/01 13:15:00,3818.38,-1.10,TRADE
VIC1,2026/08/01 13:20:00,3888.85,-6.50,TRADE
VIC1,2026/08/01 13:25:00,3898.09,-6.50,TRADE
VIC1,2026/08/01 13:30:00,3921.53,-6.50,TRADE
VIC1,2026/08/01 13:35:00,3826.52,-6.50,TRADE
VIC1,2026/08/01 13:40:00,3830.55,-6.51,TRADE
VIC1,2026/08/01 13:45:00,3894.64,-6.50,TRADE
VIC1,2026/08/01 13:50:00,3876.42,-7.74,TRADE
VIC1,2026/08/01 13:55:00,3843.21,-7.51,TRADE
VIC1,2026/08/01 14:00:00,3931.71,-6.50,TRADE
VIC1,2026/08/01 14:05:00,3909.57,-6.01,TRADE
VIC1,2026/08/01 14:10:00,3842.13,-7.03,TRADE
VIC1,2026/08/01 14:15:00,3763.13,-12.75,TRADE
VIC1,2026/08/01 14:20:00,3801.17,-6.51,TRADE
VIC1,2026/08/01 14:25:00,3927.72,-6.50,TRADE
VIC1,2026/08/01 14:30:00,3915.89,-3.50,TRADE
VIC1,2026/08/01 14:35:00,3943.67,-6,TRADE
